1000 2995
0 18 10
0 513 30
0 581 7
1 419 9
2 330 52
2 478 56
2 539 13
2 761 56
3 264 -5
3 350 72
3 784 65
3 936 86
3 986 17
4 35 36
4 423 99
4 796 85
5 488 68
5 625 60
6 173 6
6 349 -6
6 383 91
7 290 -5
7 463 3
8 487 78
8 569 -5
9 6 94
9 542 59
9 611 -5
9 700 94
9 898 32
10 470 93
10 520 79
10 712 68
11 59 3
11 184 32
11 362 89
11 502 18
12 9 17
12 322 39
13 100 22
13 682 -5
13 885 65
14 565 98
14 677 29
15 395 60
16 529 24
16 780 19
16 990 10
17 175 78
17 199 90
17 420 55
17 753 13
18 38 20
18 54 65
19 100 20
19 581 71
20 596 54
21 122 93
21 968 44
22 263 42
22 490 99
23 31 85
23 119 68
23 132 18
23 198 35
24 315 46
25 81 92
25 576 30
26 19 59
26 158 25
26 170 57
26 256 82
27 233 64
27 283 47
27 621 88
28 24 3
28 232 37
28 510 50
29 231 74
29 471 15
29 728 5
29 896 -9
30 44 68
30 222 93
30 800 38
31 30 33
31 504 8
32 671 46
33 160 0
33 739 54
34 329 79
34 462 7
34 746 76
35 72 25
35 211 17
35 214 57
35 508 46
35 525 24
35 892 95
36 52 25
36 142 75
36 623 55
36 722 23
36 851 86
36 863 18
37 3 0
37 982 89
38 326 55
39 124 50
39 514 8
40 946 30
41 434 40
41 525 28
41 884 58
41 960 12
42 199 51
42 706 15
42 911 35
43 101 34
43 181 32
44 106 63
44 243 -8
44 589 91
45 4 55
45 108 67
45 247 76
45 255 98
45 294 98
45 411 24
45 535 73
45 543 40
46 591 70
46 718 4
46 899 88
47 103 54
47 143 -7
47 524 19
47 550 36
47 700 36
48 634 1
49 17 99
50 4 58
50 83 98
50 708 69
51 53 96
51 113 25
51 267 51
51 401 90
53 12 39
53 186 3
53 282 8
53 556 76
53 965 71
54 465 22
54 822 62
55 3 56
55 646 88
56 322 29
56 415 19
56 502 14
56 637 58
59 233 17
59 309 36
59 458 55
59 658 57
59 738 2
59 992 29
60 551 31
60 571 30
60 631 96
60 896 42
61 158 97
61 444 55
61 677 37
61 703 36
62 57 0
62 422 34
63 216 87
63 737 3
63 845 -7
64 148 96
64 448 73
64 566 56
64 968 63
65 37 5
65 313 80
65 466 54
66 58 -3
66 268 -2
66 383 15
66 442 77
66 584 21
66 893 35
66 969 3
68 129 27
68 231 27
68 260 25
68 445 33
68 797 64
69 194 98
69 374 3
69 390 15
69 454 43
69 490 8
69 640 30
69 732 -5
69 949 -4
70 257 4
70 266 45
70 272 24
70 286 17
70 366 -8
70 398 89
70 515 92
70 669 69
71 113 63
71 773 70
72 270 37
72 534 11
73 112 0
73 158 19
73 385 52
73 439 88
73 736 67
73 855 38
74 54 18
74 190 91
74 270 59
75 66 23
75 928 13
76 258 58
76 448 47
76 651 72
76 906 35
76 952 1
77 705 52
79 907 20
79 953 25
81 31 48
81 379 59
82 190 69
82 204 41
82 454 39
82 942 57
83 188 -7
83 345 1
83 503 27
84 32 7
84 66 50
84 606 73
84 942 26
85 21 6
85 411 63
85 530 86
85 600 -9
85 622 95
85 887 55
85 935 2
86 450 69
86 585 26
87 64 45
87 859 -9
87 989 40
88 92 47
88 483 21
88 745 44
89 35 5
89 77 73
89 185 50
89 495 13
89 782 95
89 985 78
90 442 51
90 589 36
90 806 82
90 955 -7
90 961 28
91 222 49
91 525 54
91 583 27
91 697 26
91 751 13
92 915 -1
92 945 59
93 212 11
93 228 82
93 283 7
93 354 97
93 678 48
94 112 83
94 400 71
94 408 45
94 716 81
94 887 70
95 78 72
95 304 80
95 378 63
95 572 42
95 588 74
96 401 2
96 607 64
96 651 8
96 667 55
96 682 96
96 706 27
96 738 93
97 252 58
97 730 -3
97 770 16
98 29 92
98 321 15
99 340 4
99 370 59
99 573 72
99 749 45
100 80 40
100 652 47
100 748 55
100 953 66
101 48 44
101 188 16
101 868 80
102 119 10
102 307 20
102 555 -9
102 642 47
102 697 28
104 9 81
104 58 84
104 392 5
104 680 4
105 486 29
105 676 48
105 781 57
106 322 85
106 488 58
106 635 0
107 628 63
107 645 12
107 847 15
108 45 -6
108 97 59
108 682 41
108 744 47
108 861 25
108 939 4
109 663 82
109 741 60
110 799 14
110 830 4
110 881 80
110 904 16
111 177 47
111 390 24
111 439 5
111 791 2
111 855 55
112 295 31
112 374 67
112 382 16
113 41 31
113 225 54
113 263 48
113 543 0
113 559 28
113 734 86
113 764 -2
113 826 -3
114 510 40
115 39 54
115 108 96
115 300 -1
115 337 83
115 418 95
115 648 -5
115 906 74
116 17 76
116 353 11
116 503 -7
118 33 82
118 542 50
118 710 0
119 332 3
119 689 28
120 197 35
120 528 69
120 906 62
121 504 57
122 570 21
122 577 33
122 611 9
122 768 67
122 970 9
123 467 46
123 609 94
123 755 46
124 234 65
124 462 95
125 714 93
125 941 48
126 22 20
126 359 38
126 757 57
126 860 42
127 474 0
127 731 80
128 614 84
129 24 91
129 511 81
129 595 58
129 929 62
130 873 73
130 932 90
130 977 5
131 101 80
131 126 -2
131 227 -8
131 773 41
131 805 75
131 897 39
132 80 76
132 800 48
132 875 61
133 406 67
133 432 74
133 657 98
133 702 6
133 752 14
133 923 22
134 393 57
134 553 23
134 716 50
134 782 -2
134 879 79
136 749 81
136 848 -9
137 50 -7
137 768 14
138 70 89
138 591 96
138 688 55
139 221 15
139 921 42
141 221 90
142 41 94
142 89 69
142 149 46
142 232 81
142 293 52
142 525 69
142 797 89
143 222 -2
143 344 40
143 991 0
144 70 52
144 261 89
144 281 88
145 68 18
145 235 90
145 336 54
145 947 11
146 90 -7
146 270 24
146 433 60
146 583 33
146 669 35
147 53 43
147 289 86
147 378 77
147 739 31
148 997 39
149 63 78
149 98 43
149 179 54
149 252 33
149 797 78
150 339 72
151 89 91
151 220 64
151 476 65
151 565 31
151 825 87
151 956 75
152 78 0
152 105 93
152 541 41
152 615 13
152 632 40
152 688 27
152 823 45
152 881 99
153 173 39
153 454 44
154 529 -3
154 854 27
155 29 28
155 258 85
155 390 36
155 555 60
156 765 29
156 794 53
157 144 50
157 482 99
157 531 71
157 617 73
157 943 77
157 963 39
160 328 77
160 586 50
160 717 38
160 882 61
161 239 50
161 320 22
161 770 79
161 852 73
163 207 43
163 644 5
163 691 37
163 708 96
164 122 5
164 221 24
164 427 50
165 94 82
165 411 27
166 24 2
166 601 58
166 960 52
167 154 80
167 331 10
167 502 12
167 746 46
167 954 93
168 512 -3
168 611 20
168 672 91
168 700 58
168 972 80
169 269 73
169 819 91
169 856 31
169 923 61
169 988 81
170 120 0
170 165 34
170 257 97
170 467 68
170 830 18
170 839 72
171 180 36
171 931 26
172 33 66
172 82 38
172 167 -6
172 217 42
172 292 88
172 329 53
172 693 92
173 513 57
173 822 88
174 850 95
175 371 2
175 493 26
175 679 76
176 121 44
176 638 17
176 907 40
177 785 80
178 450 68
178 576 97
179 110 63
179 737 -1
180 351 92
180 600 53
180 715 71
181 88 74
181 404 45
182 68 22
182 367 11
182 434 74
182 963 3
184 86 -7
184 99 19
184 222 78
184 343 5
