sentiment,confidence,image_url
Positive,0.6395,http://farm1.staticflickr.com/20/71235476_310366f395.jpg
Positive,0.6458,http://farm4.staticflickr.com/3096/2584485524_836ef16edd.jpg
Negative,0.842,http://farm3.staticflickr.com/2880/11733997835_f6634eb488.jpg
Positive,0.7216,http://farm4.staticflickr.com/3022/2286937150_d93e3faa9b.jpg
Positive,0.8801,http://farm1.staticflickr.com/163/357381033_d0176b7f37.jpg
Highly negative,0.7589,http://farm6.staticflickr.com/5082/5220342939_9551b396ce.jpg
Negative,0.7198,http://farm6.staticflickr.com/5254/5428519574_9c45a2a101.jpg
Negative,0.7978,http://farm7.staticflickr.com/6015/5957116248_c35de8d06e.jpg
Positive,0.6448,http://farm7.staticflickr.com/6022/5984542514_b03eb42afe.jpg
Positive,0.9197,http://farm8.staticflickr.com/7284/8741489133_a6b202b99e.jpg
Negative,0.7591,http://farm3.staticflickr.com/2254/2404089966_3df66e54f6.jpg
Positive,0.7192,http://farm6.staticflickr.com/5208/5334167439_6ced868815.jpg
Highly negative,0.8413,http://farm6.staticflickr.com/5104/5614575315_1ed642b984.jpg
Negative,0.7637,http://farm5.staticflickr.com/4042/4302080964_664b4110f8.jpg
Positive,0.5604,http://farm8.staticflickr.com/7347/11246475533_2b63f6f9ee.jpg
Positive,0.6831,http://farm3.staticflickr.com/2485/3809144425_5dc5e4c7d3.jpg
Positive,0.881,http://farm8.staticflickr.com/7230/7002167496_88f82a9789.jpg
Positive,0.679,http://farm3.staticflickr.com/2813/13298983984_b1ca51046a.jpg
Positive,0.6011,http://farm3.staticflickr.com/2454/3952860820_499a3b8ef3.jpg
Positive,0.7194,http://farm5.staticflickr.com/4006/4699191535_5e92a12e06.jpg
Positive,0.6811,http://farm5.staticflickr.com/4149/5005670557_7bf23ae76a.jpg
Positive,0.8002,http://farm1.staticflickr.com/128/411345849_5316fd0a4e.jpg
Highly positive,0.521,http://farm6.staticflickr.com/5027/5879783357_a953041e6b.jpg
Positive,0.6382,http://farm4.staticflickr.com/3034/2634328128_cc6e5eb6a8.jpg
Positive,0.6374,http://farm8.staticflickr.com/7155/6567091075_f6e3148a42.jpg
Positive,0.5609,http://farm7.staticflickr.com/6007/5917802117_3f270fbbe6.jpg
Highly negative,0.6823,http://farm2.staticflickr.com/1346/5141227803_dc88f098fe.jpg
Highly positive,0.5211,http://farm3.staticflickr.com/2758/4111116342_cc93a8e243.jpg
Highly negative,0.7607,http://farm5.staticflickr.com/4037/4375868814_eae3e5177a.jpg
Highly negative,0.8777,http://farm7.staticflickr.com/6074/6090674603_265ec4d43d.jpg
Positive,0.6773,http://farm4.staticflickr.com/3157/2645971210_a7928781a1.jpg
Negative,0.6795,http://farm5.staticflickr.com/4048/4303516393_5dbc54760c.jpg
Highly positive,0.7616,http://farm8.staticflickr.com/7104/7184272763_ca86b299a5.jpg
Positive,0.7993,http://farm9.staticflickr.com/8518/8426038432_5994fd32cb.jpg
Positive,0.7582,http://farm1.staticflickr.com/7/6578913_1eeb2a0e42.jpg
Highly negative,0.6006,http://farm5.staticflickr.com/4054/4375918138_ca2795c7bf.jpg
Negative,0.5619,http://farm3.staticflickr.com/2141/2214863007_b5e7cb1dd4.jpg
Positive,0.6394,http://farm4.staticflickr.com/3213/2839227375_80fdf97fe5.jpg
Highly negative,0.801,http://farm8.staticflickr.com/7167/6741704837_9cb5477203.jpg
Positive,0.8003,http://farm4.staticflickr.com/3632/3616780046_05d100b9f4.jpg
Highly positive,0.5615,http://farm3.staticflickr.com/2827/10806793814_73f19083a9.jpg
Highly negative,0.4804,http://farm7.staticflickr.com/6197/6140612827_53836b8966.jpg
Positive,0.5618,http://farm6.staticflickr.com/5466/8978705167_58cc98801e.jpg
Highly negative,0.5642,http://farm9.staticflickr.com/8049/8112706341_afa0cf229e.jpg
Positive,0.9195,http://farm6.staticflickr.com/5005/5334787592_5bbb39f724.jpg
Negative,0.7606,http://farm6.staticflickr.com/5521/9252806555_9ec8fc47cb.jpg
Positive,0.6857,http://farm4.staticflickr.com/3198/2808115966_cd3d28b12f.jpg
Positive,0.7607,http://farm1.staticflickr.com/54/145449724_996b864427.jpg
Negative,0.5197,http://farm7.staticflickr.com/6107/6325280533_6489228759.jpg
Negative,0.5999,http://farm2.staticflickr.com/1386/1350683214_af7d1ff907.jpg
Positive,0.7196,http://farm3.staticflickr.com/2381/2130366863_c2a780990e.jpg
Positive,0.8793,http://farm9.staticflickr.com/8281/7640092432_87969b08c5.jpg
Negative,0.8802,http://farm8.staticflickr.com/7204/6772823326_a9f0862c6a.jpg
Positive,0.638,http://farm6.staticflickr.com/5161/5346997123_3d07ac9fa5.jpg
Positive,0.7202,http://farm3.staticflickr.com/2778/5789754626_9c83fa6ee5.jpg
Positive,0.6409,http://farm8.staticflickr.com/7045/6935098684_670192d29d.jpg
Positive,0.7589,http://farm4.staticflickr.com/3160/2634335486_7d23429eb9.jpg
Highly negative,0.5195,http://farm8.staticflickr.com/7004/6645589143_5e648e189a.jpg
Highly positive,0.5198,http://farm1.staticflickr.com/39/83156234_ff867143fd.jpg
Highly negative,0.5613,http://farm7.staticflickr.com/6121/6207215090_a54b51fc9b.jpg
Highly positive,0.5611,http://farm1.staticflickr.com/134/322779625_49f54d988f.jpg
Negative,0.7588,http://farm2.staticflickr.com/1345/1317612821_c23f0eec87.jpg
Highly negative,0.562,http://farm5.staticflickr.com/4068/4375157039_4be0b0c52d.jpg
Negative,0.7978,http://farm4.staticflickr.com/3161/2672903440_581da63966.jpg
Negative,0.5567,http://farm7.staticflickr.com/6051/6343105577_fa445ff044.jpg
Positive,0.6379,http://farm4.staticflickr.com/3527/3259619205_c2a884f9ae.jpg
Highly positive,0.5225,http://farm4.staticflickr.com/3519/3798386701_ac42e7184b.jpg
Positive,0.5198,http://farm4.staticflickr.com/3562/5708848146_260f68e800.jpg
Negative,0.6837,http://farm1.staticflickr.com/6/7502123_9522bb4fb8.jpg
Positive,0.9201,http://farm8.staticflickr.com/7202/6916392704_e61879b646.jpg
Negative,0.5554,http://farm6.staticflickr.com/5288/5375954518_308f016557.jpg
Positive,0.8013,http://farm1.staticflickr.com/41/120473692_7c5f79adc3.jpg
Highly negative,0.6011,http://farm5.staticflickr.com/4127/5141181768_d321c07ee6.jpg
Positive,0.7238,http://farm4.staticflickr.com/3675/9336957513_d4b65e4ba2.jpg
Highly negative,0.6012,http://farm4.staticflickr.com/3061/3046336203_40b47c76d4.jpg
Highly positive,0.4806,http://farm7.staticflickr.com/6167/6164831760_3466e9c7f9.jpg
Highly negative,0.5616,http://farm3.staticflickr.com/2510/4117072645_b6c9007870.jpg
Positive,0.6781,http://farm3.staticflickr.com/2266/4510308021_1830838f1c.jpg
Highly negative,0.802,http://farm6.staticflickr.com/5113/7196512306_a2484975fc.jpg
Positive,0.5979,http://farm3.staticflickr.com/2518/3802557388_cd12029e2b.jpg
Negative,0.4807,http://farm3.staticflickr.com/2273/2228488243_f12ec55a28.jpg
