Symbol,Code,Signification
ID,0,identifier
CONST,1,constant
main,2,keyword
(,3,parenthesis
),4,parenthesis
{,5,parenthesis
},6,parenthesis
;,7,separator
",",8,separator
int,9,type
char,10,type
float,11,type
double,12,type
string,13,type
=,14,operator
+,15,operator
-,16,operator
*,17,operator
/,18,operator
%,19,operator
&,20,operator
|,21,operator
^,22,operator
&&,23,operator
||,24,operator
==,25,operator
!=,26,operator
<,27,operator
>,28,operator
<=,29,operator
>=,30,operator
<<,31,operator
>>,32,operator
if,33,statement
else,34,statement
while,35,statement
for,36,statement
struct,37,statement
.,38,separator
cin,39,keyword
cout,40,keyword
switch,41,statement
case,42,case
default,43,case
:,44,separator
break,45,keyword
