100 1022
0 6 3
0 8 3
0 10 8
0 41 12
0 70 8
0 72 8
0 82 9
0 96 -2
1 25 -1
1 28 1
1 37 1
1 43 2
1 58 2
1 78 18
1 82 -3
1 84 13
1 91 15
1 95 12
1 99 -4
2 18 -5
2 20 18
2 22 10
2 24 8
2 38 4
2 40 4
2 42 15
2 55 3
2 92 7
2 95 17
3 10 15
3 23 -4
3 26 10
3 28 0
3 31 -4
3 40 8
3 41 -6
3 48 19
3 66 1
3 67 3
3 98 11
4 3 0
4 35 4
4 61 9
4 67 19
4 74 8
4 85 12
5 17 12
5 18 19
5 26 16
5 37 12
5 47 2
5 57 -2
5 62 -5
5 80 -6
5 90 0
5 91 17
6 1 5
6 25 19
6 32 14
6 51 4
6 54 -5
6 72 8
6 81 0
6 85 9
7 5 6
7 8 3
7 18 17
7 30 10
7 33 2
7 51 6
7 61 17
7 69 -3
7 91 19
7 97 3
8 42 17
8 68 -1
8 69 12
8 74 8
8 79 13
8 84 -3
8 85 18
9 21 12
9 29 7
9 31 10
9 35 -4
9 36 1
9 42 -5
9 44 12
9 51 4
9 56 3
9 59 5
9 68 -2
9 72 9
10 5 3
10 11 -5
10 24 14
10 25 -6
10 39 1
10 53 -4
10 60 4
10 69 5
10 72 1
10 88 13
11 6 2
11 8 11
11 10 15
11 13 1
11 27 0
11 31 2
11 40 13
11 47 17
11 48 -5
11 71 5
11 74 9
11 75 18
11 85 13
11 86 -2
11 94 0
11 99 13
12 9 13
12 16 9
12 42 11
12 62 7
12 99 10
13 53 12
13 59 0
13 60 -5
13 67 14
13 69 14
14 8 8
14 17 19
14 35 2
14 66 18
14 74 0
14 83 1
14 92 11
15 13 3
15 25 0
15 46 8
15 67 10
15 86 6
15 94 -6
15 95 6
15 99 -2
16 4 11
16 30 4
16 45 17
16 52 9
16 80 4
16 88 17
16 91 14
17 20 -1
17 31 6
17 33 -1
17 34 2
17 35 15
17 39 -1
17 45 10
17 48 1
17 56 7
17 59 -3
17 77 14
17 87 5
18 9 5
18 10 6
18 29 16
18 30 7
18 36 3
18 55 19
18 96 0
19 3 4
19 6 13
19 21 5
19 50 18
19 58 9
19 70 14
19 71 0
19 77 12
19 78 15
19 95 -2
20 0 -5
20 7 3
20 10 2
20 32 17
20 45 2
20 74 -6
20 91 3
21 15 3
21 26 18
21 36 0
21 40 2
21 45 6
21 58 -4
21 64 3
21 89 6
21 96 0
22 19 13
22 20 6
22 28 0
22 34 4
22 37 17
22 41 12
22 45 10
22 47 12
22 59 3
22 80 1
22 88 10
22 97 -6
23 4 0
23 7 3
23 34 16
23 38 -6
23 45 8
23 71 2
23 75 10
23 86 6
23 89 4
24 15 0
24 17 -4
24 18 13
24 23 0
24 31 0
24 35 0
24 53 5
24 54 -5
24 56 12
24 62 9
24 63 0
24 71 5
24 84 7
24 85 17
24 88 10
24 93 -4
24 96 0
24 99 18
25 9 8
25 10 10
25 47 0
25 54 18
25 64 17
25 72 17
25 75 17
25 93 1
26 4 18
26 23 10
26 24 18
26 32 6
26 60 14
26 65 3
26 74 5
26 78 5
26 80 -6
26 83 -2
26 91 14
27 3 14
27 29 0
27 30 9
27 34 0
27 35 11
27 36 9
27 39 -6
27 50 -3
27 55 -2
27 58 10
27 68 17
27 76 7
27 94 7
28 38 8
28 44 -2
28 46 7
28 62 -4
28 67 6
28 71 0
28 77 -5
28 90 18
29 17 17
29 38 13
29 39 -2
29 42 7
29 46 4
29 47 -3
29 52 0
29 57 1
29 63 14
29 76 -6
29 98 -4
30 0 0
30 5 0
30 7 17
30 37 14
30 41 16
30 45 1
30 48 9
30 59 -3
30 64 9
30 71 16
30 78 -3
30 82 -6
30 94 10
31 9 6
31 11 15
31 13 13
31 16 19
31 20 4
31 35 9
31 39 0
31 50 -4
31 57 10
31 58 -3
31 70 4
31 77 18
31 80 2
31 84 4
31 94 11
31 96 2
32 13 6
32 18 18
32 28 12
32 37 16
32 49 3
32 57 18
32 61 5
32 71 13
32 88 11
33 2 15
33 4 -5
33 23 11
33 26 5
33 60 17
33 64 -1
33 67 18
33 69 10
33 73 3
33 75 2
33 77 -3
33 87 10
33 88 16
34 2 0
34 7 9
34 13 15
34 47 8
34 54 16
34 57 1
34 66 9
34 77 10
34 88 -1
34 90 19
35 15 13
35 25 5
35 33 2
35 71 0
35 74 10
35 80 9
35 84 -1
35 94 9
35 95 2
35 99 6
36 13 0
36 38 10
36 52 0
36 56 12
36 61 2
36 70 9
36 81 6
36 83 15
36 87 0
36 89 -4
36 97 3
36 99 10
37 14 6
37 25 10
37 33 12
37 38 6
37 43 2
37 44 17
37 57 19
37 69 -3
37 80 3
38 22 -5
38 27 6
38 40 -2
38 48 -6
38 49 15
38 57 11
38 59 9
38 76 4
38 78 -6
38 86 8
39 11 14
39 13 -4
39 31 9
39 37 13
39 46 18
39 64 -5
39 68 0
39 85 4
39 86 -2
39 89 17
40 3 3
40 7 4
40 23 8
40 38 19
40 43 9
40 48 11
40 50 17
40 62 19
40 83 9
40 85 4
41 17 14
41 23 7
41 28 14
41 40 9
41 47 16
41 48 3
41 62 1
41 82 3
41 90 9
41 91 0
42 5 2
42 7 5
42 50 10
42 62 1
42 69 -4
42 71 10
42 75 7
42 79 19
42 89 0
43 6 4
43 12 14
43 20 14
43 26 4
43 38 6
43 53 10
43 79 6
43 85 -4
43 90 15
43 98 17
44 3 17
44 4 17
44 8 1
44 15 -2
44 33 4
44 40 13
44 41 12
44 43 -5
44 47 9
44 50 15
44 51 -5
44 69 0
44 77 17
44 94 13
44 95 16
45 10 1
45 40 5
45 44 -6
45 55 2
45 69 14
45 73 3
45 84 11
45 86 0
45 87 0
45 88 3
46 8 3
46 10 -2
46 20 2
46 22 -1
46 24 10
46 26 -3
46 42 2
46 50 5
46 53 14
46 57 0
46 70 0
46 76 13
47 1 -1
47 11 -2
47 14 8
47 25 3
47 36 9
47 60 9
47 69 13
47 70 1
47 85 14
47 87 14
47 96 16
48 5 7
48 16 -1
48 27 4
48 31 -1
48 40 14
48 41 13
48 42 9
